Id	fixed acidity	volatile acidity	citric acid	residual sugar	chlorides	free sulfur dioxide	total sulfur dioxide	density	ph	sulphates	alcohol	quality	total_free ratio
0	7.4	0.7	0.0	1.9	0.076	11.0	34.0	0.9978	3.51	0.56	9.4	5	0.3235294117647059
1	7.8	0.88	0.0	2.6	0.098	25.0	67.0	0.9968	3.2	0.68	9.8	5	0.373134328358209
2	7.8	0.76	0.04	2.3	0.092	15.0	54.0	0.997	3.26	0.65	9.8	5	0.2777777777777778
3	11.2	0.28	0.56	1.9	0.075	17.0	60.0	0.998	3.16	0.58	9.8	6	0.2833333333333333
4	7.4	0.7	0.0	1.9	0.076	11.0	34.0	0.9978	3.51	0.56	9.4	5	0.3235294117647059
5	7.4	0.66	0.0	1.8	0.075	13.0	40.0	0.9978	3.51	0.56	9.4	5	0.325
6	7.9	0.6	0.06	1.6	0.069	15.0	59.0	0.9964	3.3	0.46	9.4	5	0.2542372881355932
7	7.3	0.65	0.0	1.2	0.065	15.0	21.0	0.9946	3.39	0.47	10.0	7	0.7142857142857143
8	7.8	0.58	0.02	2.0	0.073	9.0	18.0	0.9968	3.36	0.57	9.5	7	0.5
10	6.7	0.58	0.08	1.8	0.0969999999999999	15.0	65.0	0.9959	3.28	0.54	9.2	5	0.23076923076923078
12	5.6	0.615	0.0	1.6	0.089	16.0	59.0	0.9943	3.58	0.52	9.9	5	0.2711864406779661
13	7.8	0.61	0.29	1.6	0.114	9.0	29.0	0.9974	3.26	1.56	9.1	5	0.3103448275862069
16	8.5	0.28	0.56	1.8	0.092	35.0	103.0	0.9969	3.3	0.75	10.5	7	0.33980582524271846
19	7.9	0.32	0.51	1.8	0.341	17.0	56.0	0.9969	3.04	1.08	9.2	6	0.30357142857142855
21	7.6	0.39	0.31	2.3	0.0819999999999999	23.0	71.0	0.9982	3.52	0.65	9.7	5	0.323943661971831
22	7.9	0.43	0.21	1.6	0.106	10.0	37.0	0.9966	3.17	0.91	9.5	5	0.2702702702702703
23	8.5	0.49	0.11	2.3	0.084	9.0	67.0	0.9968	3.17	0.53	9.4	5	0.13432835820895522
24	6.9	0.4	0.14	2.4	0.085	21.0	40.0	0.9968	3.43	0.63	9.7	6	0.525
25	6.3	0.39	0.16	1.4	0.08	11.0	23.0	0.9955	3.34	0.56	9.3	5	0.4782608695652174
26	7.6	0.41	0.24	1.8	0.08	4.0	11.0	0.9962	3.28	0.59	9.5	5	0.36363636363636365
28	7.1	0.71	0.0	1.9	0.08	14.0	35.0	0.9972	3.47	0.55	9.4	5	0.4
29	7.8	0.645	0.0	2.0	0.0819999999999999	8.0	16.0	0.9964	3.38	0.59	9.8	6	0.5
30	6.7	0.675	0.07	2.4	0.089	17.0	82.0	0.9958	3.35	0.54	10.1	5	0.2073170731707317
32	8.3	0.655	0.12	2.3	0.083	15.0	113.0	0.9966	3.17	0.66	9.8	5	0.13274336283185842
34	5.2	0.32	0.25	1.8	0.103	13.0	50.0	0.9957	3.38	0.55	9.2	5	0.26
35	7.8	0.645	0.0	5.5	0.086	5.0	18.0	0.9986	3.4	0.55	9.6	6	0.2777777777777778
36	7.8	0.6	0.14	2.4	0.086	3.0	15.0	0.9975	3.42	0.6	10.8	6	0.2
37	8.1	0.38	0.28	2.1	0.066	13.0	30.0	0.9968	3.23	0.73	9.7	7	0.43333333333333335
40	7.3	0.45	0.36	5.9	0.074	12.0	87.0	0.9978	3.33	0.83	10.5	5	0.13793103448275862
41	8.8	0.61	0.3	2.8	0.088	17.0	46.0	0.9976	3.26	0.51	9.3	4	0.3695652173913043
42	7.5	0.49	0.2	2.6	0.332	8.0	14.0	0.9968	3.21	0.9	10.5	6	0.5714285714285714
43	8.1	0.66	0.22	2.2	0.069	9.0	23.0	0.9968	3.3	1.2	10.3	5	0.391304347826087
45	4.6	0.52	0.15	2.1	0.054	8.0	65.0	0.9934	3.9	0.56	13.1	4	0.12307692307692308
46	7.7	0.935	0.43	2.2	0.114	22.0	114.0	0.997	3.25	0.73	9.2	5	0.19298245614035087
50	8.8	0.66	0.26	1.7	0.074	4.0	23.0	0.9971	3.15	0.74	9.2	5	0.17391304347826086
51	6.6	0.52	0.04	2.2	0.069	8.0	15.0	0.9956	3.4	0.63	9.4	6	0.5333333333333333
52	6.6	0.5	0.04	2.1	0.068	6.0	14.0	0.9955	3.39	0.64	9.4	6	0.42857142857142855
53	8.6	0.38	0.36	3.0	0.081	30.0	119.0	0.997	3.2	0.56	9.4	5	0.25210084033613445
54	7.6	0.51	0.15	2.8	0.11	33.0	73.0	0.9955	3.17	0.63	10.2	6	0.4520547945205479
56	10.2	0.42	0.57	3.4	0.07	4.0	10.0	0.9971	3.04	0.63	9.6	5	0.4
58	7.8	0.59	0.18	2.3	0.076	17.0	54.0	0.9975	3.43	0.59	10.0	5	0.3148148148148148
59	7.3	0.39	0.31	2.4	0.074	9.0	46.0	0.9962	3.41	0.54	9.4	6	0.1956521739130435
60	8.8	0.4	0.4	2.2	0.079	19.0	52.0	0.998	3.44	0.64	9.2	5	0.36538461538461536
61	7.7	0.69	0.49	1.8	0.115	20.0	112.0	0.9968	3.21	0.71	9.3	5	0.17857142857142858
63	7.0	0.735	0.05	2.0	0.081	13.0	54.0	0.9966	3.39	0.57	9.8	5	0.24074074074074073
64	7.2	0.725	0.05	4.65	0.086	4.0	11.0	0.9962	3.41	0.39	10.9	5	0.36363636363636365
65	7.2	0.725	0.05	4.65	0.086	4.0	11.0	0.9962	3.41	0.39	10.9	5	0.36363636363636365
67	6.6	0.705	0.07	1.6	0.076	6.0	15.0	0.9962	3.44	0.58	10.7	5	0.4
69	8.0	0.705	0.05	1.9	0.074	8.0	19.0	0.9962	3.34	0.95	10.5	6	0.42105263157894735
72	7.7	0.69	0.22	1.9	0.084	18.0	94.0	0.9961	3.31	0.48	9.5	5	0.19148936170212766
73	8.3	0.675	0.26	2.1	0.084	11.0	43.0	0.9976	3.31	0.53	9.2	4	0.2558139534883721
76	8.8	0.41	0.64	2.2	0.093	9.0	42.0	0.9986	3.54	0.66	10.5	5	0.21428571428571427
77	6.8	0.785	0.0	2.4	0.104	14.0	30.0	0.9966	3.52	0.55	10.7	6	0.4666666666666667
